Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73946,Tonight's a good night.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73946,All except the prototype with the sonar modifications you so disapprove of. But it hasn't yet been tested.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73946,Claw Island. Nygma's headquarters. I'm sure that's where they're keeping Chase.  Are all the Batsuits destroyed?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73946,What now sir?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73938,Exactly. Mr. E. Mister Edward Nygma.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73938,Enigma.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73938,And another name for Mystery?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73938,Mystery.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73938,"How about, MR. E.",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73938,Of course. 13 is M....MRE.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73938,Letters in the alphabet.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73933,Precisely. So this number is probably some kind of calling card.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73933,"Recognition, of course.",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73933,What do maniacs always want?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73933,"But 1, 3, 1, 8, & 5. What do they mean?",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73933,All the answers are numbers.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73931,"...Batman, Alfred. I'm Batman.",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73931,"Master, Bruce?",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73913,"No demons, son.  Your monsters are here. Until you fact that, I fear you will spend your life fleeing them.",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73913,"I remember a bat. A monster. A demon. Chasing me.  Oh my God, Alfred.",3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73913,What?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73913,...A bat.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73913,Bruce. Son. Listen to me. You are a kind man. A strong man. But in truth you are not the most sane man.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73913,...Afraid.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73913,What?,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73913,There's one other thing. I feel..,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73913,Perhaps the fall...,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",BRUCE,L73913,I'm Batman? I remember my life as Bruce Wayne.  But all this. It's like the life of a stranger.,3,1
batman forever,"['action', 'crime', 'fantasy', 'thriller']",ALFRED,L73904,"Dick has run away. They have taken Dr. Meridian. And I'm afraid they found the cave, sir. It's been destroyed.",3,1
