Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
x-men,"['action', 'sci-fi']",STORM,L664561,Beast.,3,1
x-men,"['action', 'sci-fi']",BEAST,L664561,"Storm.  Try to look for the highest vantage point. From what I can figure, he'll need to gain as much altitude as possible to blanket the island.  It is my feeling that Magneto has to--",3,1
x-men,"['action', 'sci-fi']",STORM,L664561,We all do.,3,1
x-men,"['action', 'sci-fi']",BEAST,L664561,I wish I could go.,3,1
x-men,"['action', 'sci-fi']",STORM,L664554,... until he found tungsten.,3,1
x-men,"['action', 'sci-fi']",BEAST,L664554,Thomas Edison knew how to make the light bulb.  He had the energy source. He had the vacuum.  But he didn't have the filament.  He tried metal after metal but nothing would hold to power.,3,1
x-men,"['action', 'sci-fi']",BEAST,L664508,"The neuro-filter acts like a surge protector, regulating the infinite flow of information from Cerebro to the Professor's mind.  It's what keeps him from being crushed by the consciousness of millions.",3,1
x-men,"['action', 'sci-fi']",STORM,L664508,What does that mean?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664556,So where do you think he's planning this larger demonstration?,3,1
x-men,"['action', 'sci-fi']",BEAST,L664556,Yes -- Only there's a problem.  The mutator gene is not responding to the radiation the way it would in mother nature.  It's forcing the body's cells to replicate thousands of times faster than they're accustomed to.  The Senator's body is literally burning itself out.  Scott -- this machine kills people and I don't think Magneto realizes it.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664556,For what purpose?,3,1
x-men,"['action', 'sci-fi']",BEAST,L664556,"Correct...  Apparently, Adamantium is the only metal strong enough to hold the energy this machine produces.  He used the Adamantium in Logan's dog tag to test it on the Senator.  And I assume now he plans to use the rest of Logan's skeleton for a larger demonstration.",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664552,Its core?,3,1
x-men,"['action', 'sci-fi']",BEAST,L664552,It appears as though Magneto has built a machine which somehow triggers the mutator gene in normal human beings. And he is using Adamantium as its core.,3,1
x-men,"['action', 'sci-fi']",BEAST,L664510,"I'm afraid without Cerebro's help, he won't have the strength to heal himself -- And without the neuro- filter... there's no Cerebro.",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664510,Can the Professor repair his own mind?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664609,I'm sorry.  I'm not strong enough.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664609,Jean... can you?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664593,"Storm, Rogue, -- you take the south entrance.  Jean and I will go in here.",3,1
x-men,"['action', 'sci-fi']",JEAN,L664593,It's too far.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664593,"I'm going to assume that means that the Secret Service is out of commission.  Jean, can you raise me up there?",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664573,Uh-huh.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664573,Into the Hudson?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664573,"Radar Stealth Mode checks out.  All right, there'll be less security north of the George Washington Bridge.  I'm taking her down.",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664566,"He calls me sport one more time, and I'll blow a watermelon-sized hole through him.",3,1
x-men,"['action', 'sci-fi']",JEAN,L664566,What's that?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664566,I'll tell you one thing though.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664566,"Well, I think that's perfectly understandable.",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664566,Hey.  I'm sorry.  About Logan.  I was jealous.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664514,No.  I'm...  I don't know if we can do this without Charles.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664514,Are you all right?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664512,We have to find Magneto.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664512,"He's already losing control of his vitals.  Respiratory.  Cardiovascular. Unless we manage to replace the filter by tomorrow morning, I'm afraid.",3,1
x-men,"['action', 'sci-fi']",JEAN,L664502,His vital signs are weak and getting weaker.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664502,What's wrong with him?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664392,If Magneto is planning to use Logan for some terrible purpose it's our responsibility to do something.,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664392,"You saw what happened tonight.  You think Magneto won't come after him again.  You think he won't come here if necessary.  This is a school, for God's sake.",3,1
x-men,"['action', 'sci-fi']",JEAN,L664392,What are you talking about?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664392,I don't like him being here.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664392,Scott.. I -,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664641,"Sure you are, sport.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664641,I'm o.k.  I'm o.k.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664425,"Shut up.  I got no interest in you, Xavier,  or your... X-Men.",3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664425,"You know, you --",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664425,I've served with men like you before. Methodical.  Systematic -- Naive.  You know what happens to those men in a real fight?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664422,I don't remember.  Is that what you wanted to ask me?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664422,How long have you been in Alaska?,3,1
x-men,"['action', 'sci-fi']",CYCLOPS,L664418,I wanted to talk to you.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664418,Inspiring -- Now what am I doing here?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664480,"Yeah, I'll bet you have.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664480,I've seen a lot of rings.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664480,"Logan, do you see this ring?",3,1
x-men,"['action', 'sci-fi']",JEAN,L664475,What is it you're failing to get at? Are you interested in me?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664475,He takes himself seriously.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664475,He takes his work seriously.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664475,He's uptight.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664473,Suit yourself.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664473,Let go.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664469,Not interested.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664469,What do you say?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664469,Were you now?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664469,I was thinking maybe you and me could go into town.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664467,He's busy right now.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664467,You should always work with a spotter.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664385,What if they're naughty?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664385,If necessary.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664385,By reading my thoughts?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664385,"Maybe, the Professor could help you with that.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664385,Yeah?  Well I don't like to talk about my past.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664385,"The Professor said you were a solider. Actually, I believe he used the word mercenary.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664379,What if I like the pain?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664379,"I'll see what I can do -- You should get some sleep.  Even with your healing ability, you're going to be hurting for a while.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664379,I won't light the cigars - how about that?,3,1
x-men,"['action', 'sci-fi']",JEAN,L664379,There's no smoking or drinking on the school grounds.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664379,Some cigars.  Case of beer.,3,1
x-men,"['action', 'sci-fi']",JEAN,L664379,Anything else I can get you?,3,1
x-men,"['action', 'sci-fi']",KELLY,L664536,"I can assure you, there is no such creature in my genes.",3,0
x-men,"['action', 'sci-fi']",JEAN,L664536,The mutant gene tells the body when it needs to change.,3,1
x-men,"['action', 'sci-fi']",KELLY,L664524,Tell it to the ones that did this to me.,3,0
x-men,"['action', 'sci-fi']",JEAN,L664524,Treat you like a mutant?  We are not what you think.  Not all of us.,3,1
x-men,"['action', 'sci-fi']",KELLY,L664524,"I'm sorry to come here, Ms. Grey.  I was afraid if I went to a hospital, they would...",3,0
x-men,"['action', 'sci-fi']",JEAN,L664518,Senator?,3,1
x-men,"['action', 'sci-fi']",KELLY,L664518,Dr. Grey.,3,0
x-men,"['action', 'sci-fi']",KELLY,L664266,"I can assure you, there is no such creature in my genes.",3,0
x-men,"['action', 'sci-fi']",JEAN,L664266,"I presume nothing, I am here to tell you that in time, the mutator gene will activate in every living human being on this planet.  Perhaps even your children, Senator.",3,1
x-men,"['action', 'sci-fi']",KELLY,L664266,"This was taken by a state police officer in Secaucus, New Jersey.  A man in a minor altercation literally melted the car in front of him.  I don't know where you come from, Ms. Grey, but where I come from, you don't go melting people's cars when they cut you off.  You do it the old fashioned way -- you give 'em the finger.  But what you presume to tell this committee -",3,0
x-men,"['action', 'sci-fi']",JEAN,L664262,"Control, Senator...  we teach them control.",3,1
x-men,"['action', 'sci-fi']",KELLY,L664262,You wouldn't happen to be teaching them how to use their powers to --,3,0
x-men,"['action', 'sci-fi']",JEAN,L664262,Math.  History.  Science.  English. Athletics --,3,1
x-men,"['action', 'sci-fi']",KELLY,L664262,"Ms. Grey -- you work at a school for mutants in Westchester, New York.  Can you tell the members of this committee what exactly you are teaching these mutants?",3,0
x-men,"['action', 'sci-fi']",JEAN,L664258,"I am avoiding a question that is decidedly loaded, Senator.  The wrong person behind the wheel of a car can be dangerous.",3,1
x-men,"['action', 'sci-fi']",KELLY,L664258,"You're avoiding the question I posed to you at the beginning of the hearing, Ms. Grey.  Three words: Are mutants dangerous?",3,0
x-men,"['action', 'sci-fi']",MAGNETO,L664318,"Let's just say, God works too slowly.",3,0
x-men,"['action', 'sci-fi']",KELLY,L664318,What is it you intend to do to me?,3,0
x-men,"['action', 'sci-fi']",MAGNETO,L664316,"INTENTION?  Intention, Senator?  We are talking about mankind here.  His fear.  It is only a matter of time before mutants will be herded into camps.  Studied for weaknesses.  And eventually wiped off the face of the Earth.",3,0
x-men,"['action', 'sci-fi']",KELLY,L664316,The intention of registration act -,3,0
x-men,"['action', 'sci-fi']",MAGNETO,L664311,"Gosh, I hope so.",3,0
x-men,"['action', 'sci-fi']",KELLY,L664311,Whatever you do to me... no matter what you'll make me right.  Every word I have spoken will be confirmed.,3,0
x-men,"['action', 'sci-fi']",KELLY,L664308,You mutant bastards...,3,0
x-men,"['action', 'sci-fi']",MAGNETO,L664308,Mr. Guyrich has been dead for some time Senator.,3,0
x-men,"['action', 'sci-fi']",KELLY,L664308,You... wha... Who are you... Where is Henry?,3,0
x-men,"['action', 'sci-fi']",MAGNETO,L664579,"In the road to survival, there is always sacrifice Logan.  We are the future... not them.  We must protect ourselves.  After tonight, when the leaders of the world return home -- They will return as brothers, as mutants... and our cause will be theirs.  This is survival, I know you understand that, Logan... or is it Wolverine?",3,0
x-men,"['action', 'sci-fi']",LOGAN,L664579,What are you going to do?,3,1
x-men,"['action', 'sci-fi']",MAGNETO,L664577,You're backstage at the encore of creation.,3,0
x-men,"['action', 'sci-fi']",LOGAN,L664577,Where am I?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664494,You think I care about her?  I'm the only one who's sure to walk out of here.,3,1
x-men,"['action', 'sci-fi']",MAGNETO,L664494,Come with me and I'll let her live.,3,0
x-men,"['action', 'sci-fi']",LOGAN,L664494,What do you want?,3,1
x-men,"['action', 'sci-fi']",MAGNETO,L664494,I do love a good check mate.,3,0
x-men,"['action', 'sci-fi']",LOGAN,L664653,"What?... miss me?  Charley, I'm gonna walk out the front door and trust me, it won't be soon enough for everyone here.",3,1
x-men,"['action', 'sci-fi']",XAVIER,L664653,"Why?  You have a home here now, if you want it.  Everyone will...",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664650,Actually I'm feeling up to leaving.,3,1
x-men,"['action', 'sci-fi']",XAVIER,L664650,They're all asking how you're doing. Are you feeling up to saying hello to everyone?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664650,Don't you knock?,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664449,I'll go.,3,1
x-men,"['action', 'sci-fi']",XAVIER,L664449,"I've found her, Westchester Mall.",3,1
x-men,"['action', 'sci-fi']",XAVIER,L664444,We were friends once...  But that was a long time ago.,3,1
x-men,"['action', 'sci-fi']",LOGAN,L664444,He helped you?,3,1
x-men,"['action', 'sci-fi']",XAVIER,L664444,"Actually, Magneto helped me put it together.",3,1
x-men,"['action', 'sci-fi']",LOGAN,L664444,You designed this yourself?,3,1
